188.77,162.24,5.5
141,141.75,5
160.23,142.72,5.5
136.77,216.75,5.5
162,106.74,4
108.23,196.22,4.5
201.37,74.322,4
181.27,108,4
167.5,198.81,5
182.74,73.258,4.5
99.5,176.75,5
134.76,88.235,4.5
164,72.467,4.5
113.24,122.21,4.5
200.38,108.8,4
130,159.71,4
219.28,109.75,4.5
218.5,145.7,4
128,197.21,4
83.236,138.76,4.5
210.27,91.993,4
158.5,179.7,5
176.75,218.73,5.5
119.24,177.73,5.5
209.5,127,4.5
64,138,4.5
178.47,180.37,5.5
154,89.203,4
229,93,4.5
147.7,198.12,4
170.79,125,5
187.74,200,5
179.73,143.59,5
196.88,219.54,4.5
110.5,158.76,5
217.75,182.5,4
125.87,235.49,4
151.75,124.22,4.5
206.3,239.42,5
197.99,181.38,4
169.25,161.27,5.5
227.77,164.26,5.5
79.985,175.73,5
256.28,222.24,4.5
121.5,140.77,5
89.473,69.13,4
236.73,221.25,5.5
91.245,157.63,4.5
257,77.731,4
105,104.2,4
126.7,70.744,4.5
146.01,236.86,5.5
276,185.24,5
285.76,204.26,4.5
190.34,126.01,4
247.76,94,4
145.5,71.301,4
149.75,160.71,5.5
247.73,128.77,4.5
138.79,178.73,5.5
257.22,111.77,4.5
56.5,119.71,4
227.02,201.74,5
132.5,123.21,4
257.23,147.28,4.5
96.958,214.77,5
143.23,105.95,4
275.5,78.759,4
26.279,136.24,4.5
116.76,215.74,4.5
191.43,91.06,4
246.77,202.73,5.5
303.22,97.261,4.5
52.757,155.74,4.5
238.24,110.77,4.5
207.5,200.8,4
246.29,241.13,4.5
57.643,212.68,5
41.397,173.71,4.5
60.621,174.79,5
88.498,195.13,5.5
247.25,165.22,5.5
78.638,85.528,4
199.1,144.56,4.5
237.76,146.28,4.5
116,87.194,4
105.5,234.76,5
172.5,90,4.5
228.51,128.13,4
237.26,183.26,4.5
266.49,95.111,4
108.1,69.907,4
208.25,163.26,4.5
30.026,192.12,4
71,68.5,4.5
276.26,148.5,4
156.74,217.73,4.5
216.78,220.27,5.5
220.21,75.459,4
49,101.74,4
75.226,120.74,4.5
295.24,185.76,4.5
285.7,167.06,5
102.36,139.82,4.5
304.23,131.79,4.5
276.24,222.77,4.5
71.925,156.7,5
266.75,129.78,4.5
124.09,104.92,4
30.5,100.77,4
293.75,79.773,4.5
186.17,238.51,6
166.02,237.64,4
45.246,137.23,5.5
68.5,194.25,5
329.5,82.246,4
330.74,116.24,4.5
304.69,167.92,4.5
305.07,204.98,4.5
256.97,184.23,5
285.76,242.5,5
94.291,121.38,4.5
333.22,187.72,4.5
22.308,172.77,4.5
285.29,130.89,4.5
266.28,203.29,4.5
311.5,81.242,4
67.252,102.29,4.5
97.24,86.273,4.5
313.63,150.3,4.5
322.49,133.24,4
284.76,96.238,4.5
238.63,76.785,4.5
49.188,193.16,5
33.748,154.75,4.5
38,211.72,5
77.229,213.66,4.5
52.742,67.725,4
295.73,223.73,4.5
26.504,230.13,4.5
60.118,84.97,4
34.602,67.086,4
266.52,166.15,4
314.76,224,5
332.24,151.27,4.5
41.751,84.227,4
86.253,103.25,4.5
37.756,118.78,4
226.72,240.27,5.5
85.629,233.48,5
266.23,241.73,4.5
275.71,112.77,4.5
305.2,243.08,5
312.73,115.26,4.5
314.26,186.84,4.5
295.05,149.57,4.5
294.39,113.94,4
324,205.87,4
321.31,98.422,4
323.45,168.78,4.5
65.761,232.5,5
18.733,210.48,4
333.74,225.02,5
46,231.23,5
324.52,243.76,5
